mixture,experiment,transition_num,temperature,time_s,derivative,brightness
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_2,1,27.19,2839.574,-8.360899813082668e-06,47.589516129032255
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_2,2,29.31,3536.884,9.282218633255485e-06,46.13586021505376
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_4,1,26.06,1049.639,2.779546146746423e-05,41.77139784946237
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_4,2,30.0,5582.41,-1.1553386561238724e-05,42.20100134408602
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_6,1,15.13,1357.305,3.1378699871769354e-05,41.98456317204301
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_6,2,24.12,4712.691,-1.787083834371852e-05,38.94898521505376
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_8,1,32.88,352.575,2.9387723973380562e-05,30.753673835125447
Thymol-Ac__Laurico,Thymol-Ac__Laurico_0_8,2,12.63,1444.097,3.6370897043901e-05,42.266720430107526
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_2,1,13.25,1006.534,3.270848674496497e-05,44.069663978494624
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_2,2,18.12,3102.454,-2.6407875319740782e-05,44.35544354838709
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_4,1,15.63,2666.369,5.345927832714709e-06,34.901149193548385
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_4,2,23.38,3714.407,-4.033953575356176e-06,35.02233198924731
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_6,1,12.44,2536.087,6.892038664880909e-06,37.15516129032258
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_6,2,26.81,4152.042,-5.246649693564718e-06,36.43969758064516
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_6,3,32.13,5331.636,5.186625062228499e-06,36.5480376344086
Thymol-acido_10_Undeca,Thymol-acido_10_Undeca_0_8,1,9.13,1361.397,2.6370578179592914e-05,43.81856182795699
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_1,1,20.44,706.54,3.821062557027874e-05,45.19456317204301
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_1,2,26.5,3582.433,-2.03021815596558e-05,40.983978494623656
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_2,1,14.25,1313.1,2.4266991566075126e-05,40.281693548387096
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_2,2,22.69,4538.023,-2.3652501683571134e-05,40.62033602150537
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_3,1,30.44,657.098,6.865039343275487e-06,39.47617607526882
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_3,2,9.5,2440.9,-8.039131785552518e-06,39.28723790322581
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_3,3,25.37,4138.071,-6.967020809148705e-06,38.917936827956986
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_4,1,8.44,1448.142,7.4795000900940785e-06,34.9467876344086
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_4,2,14.69,3452.602,-6.976485062913293e-06,35.62897849462366
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_6,1,15.06,875.836,-4.526911454820607e-06,35.166176075268815
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_8,1,6.81,2753.179,-6.210499576904079e-06,33.759522849462364
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_8,2,17.87,4325.337,5.60396095677419e-06,33.994576612903224
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_8,3,31.19,7383.987,6.1831804854837005e-06,34.68028225806452
Topo-Ac__Decanoico,Topo-Ac__Decanoico_Topo_deca_0_8,4,33.13,8651.567,-5.64645279919543e-06,34.10057795698925
