 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
50283,33.63,34.21372311827957,27.0,25.021378114550235,0.0,2.013178572622196
93835,33.69,36.004233870967745,28.0,26.52664000441441,0.0,2.047809133281304
137395,33.69,36.11504704301076,28.0,26.438827181368723,0.0,2.021612771527055
180952,33.81,36.787405913978496,29.0,26.73203481733141,0.0,2.0705846220932336
224513,33.75,37.00194892473118,29.0,27.12404319639629,0.0,2.063427222619667
268080,33.81,37.097903225806455,29.0,26.792606725987493,0.0,2.0814716657543504
311705,33.81,36.7553494623656,29.0,26.9134716813419,0.0,2.0890120956450886
355262,33.81,37.177358870967744,29.0,26.71964415714874,0.0,2.247950252512935
398819,33.75,36.62328629032258,29.0,26.939200799911088,0.0,2.185383021113352
442375,33.75,36.407318548387096,28.0,26.999261468157723,0.0,2.0940792909133283
485934,33.75,36.37984543010753,28.0,26.949225425814685,0.0,2.166565850053113
529493,33.75,36.93985215053763,29.0,27.02818840132854,0.0,2.146545694408313
573147,33.75,35.486122311827955,27.0,27.208118321028035,0.0,2.093353367757471
616710,33.81,36.02093413978495,28.0,27.07054724529301,0.0754032258064516,2.21995959774974
660281,33.75,35.78902553763441,28.0,27.40084640286562,0.0,2.2017741212856983
703841,33.81,36.667641129032255,28.0,27.18071518875629,0.0,2.1600268817204302
747398,33.81,36.8269623655914,28.0,27.43487677922132,0.0,2.319684126732497
790955,33.75,36.75118951612903,28.0,27.266243221580503,0.0,2.1410282058890475
834510,33.5,36.46005376344086,28.0,26.70809507378292,0.0,2.158508049882934
878071,32.81,37.22268145161291,28.0,27.63099305523454,0.0,2.166344067955833
921629,31.44,36.45843413978495,28.0,27.45739550609616,0.0,2.1488372387252137
965187,29.69,35.80310483870968,28.0,27.740815752957708,0.0,2.256962313381605
1008762,27.75,36.56183467741936,28.0,27.5578237455527,0.0,2.1873050876094773
1052323,25.81,37.16256720430108,28.0,27.47230368486684,0.0,2.160745962277069
1095881,23.94,36.98415994623656,28.0,27.21607457901573,0.0,2.151357526701063
1139443,22.19,37.15909946236559,28.0,27.5538311690454,0.0,2.16342715848653
1183007,20.5,36.22851478494624,28.0,27.800665364389,0.1028225806451613,2.24618271602931
1226613,19.0,36.72390456989248,28.0,27.554310760292378,0.0,2.201874986947552
1270171,17.62,36.893125,29.0,27.08605851056224,0.0,2.066807740372804
1313730,16.25,38.57423387096775,28.0,29.156280563913644,0.0,2.171102120006648
1357305,15.13,41.98456317204301,30.0,30.762784467757776,0.0,2.2197177390449765
1400864,14.13,42.86774193548387,31.0,30.96098797877055,0.0,2.2522042965588507
1444423,13.13,42.542748655913975,29.0,31.66050549243155,0.0,2.275611553674919
1488027,12.19,44.0121370967742,31.0,31.275643465742764,0.0976814516129032,2.1619489100979883
1531590,11.38,43.60229838709677,30.0,32.09579566790839,0.0,2.181706924030236
1575153,10.63,43.946693548387096,30.0,31.442510174231085,0.0,2.083938092373396
1618718,10.0,43.29543010752688,30.0,31.89811916081892,0.0,2.0760617238987167
1662278,9.56,43.29963709677419,30.0,31.73998449053968,0.0,2.0720631167168886
1705852,9.25,42.718440860215054,29.0,31.34869080697021,0.0,2.015100782559761
1749415,8.88,43.08427419354839,30.0,31.523871224836693,0.0,2.099254024625317
1792974,8.69,42.897271505376345,30.0,31.54079664134009,0.0,2.0605375122846565
1836539,8.44,43.29761424731183,30.0,31.789248786251704,0.0,1.9941934898543183
1880106,8.19,42.13712365591398,28.0,31.560848181935857,0.0,2.0803091217192744
1923667,8.13,43.3921438172043,30.0,31.82029144569537,0.0,2.020658584084865
1967231,8.0,43.53840053763441,30.0,31.871187794310625,0.0891129032258064,2.1340523759520607
2010796,7.87,43.26568548387097,30.0,31.704753382262915,0.0,2.112479836496632
2054373,7.75,42.77912634408602,29.0,31.94757053697855,0.0,2.051955644754812
2097940,7.62,43.221525537634406,30.0,31.84338869509201,0.0,2.043037482476298
2141555,7.56,42.45537634408602,29.0,31.466640222644934,0.0,1.9728695152167155
2185116,7.56,43.132788978494624,30.0,31.911088386008764,0.0,2.063434136126648
2228677,7.56,43.61057123655914,30.0,31.88812314416701,0.0,2.1094220124797665
2272240,7.44,42.66657258064516,28.0,32.09250315808541,0.0,2.0135684865573333
2315800,7.44,42.77997983870968,29.0,31.491224857257404,0.0,2.0609004579647943
2359362,7.44,43.1339314516129,30.0,31.488155082261468,0.0,2.007829284771
2402982,7.37,43.22290994623656,30.0,31.691628174818067,0.0,2.006679886222396
2446554,7.37,43.62518817204301,30.0,32.039598944153866,0.0,2.1034944820210435
2490115,7.37,42.87908602150538,29.0,32.00271226279729,0.0,2.108998648281232
2533687,7.25,43.16552419354839,29.0,32.10774945180104,0.0,2.083924719620765
2577255,7.37,42.79144489247312,29.0,31.68108693766789,0.0,2.003904546000621
2620818,7.37,43.044502688172045,29.0,31.6386727534005,0.0,2.057547042965588
2664383,7.31,42.698293010752685,29.0,31.35994114115189,0.0,2.004912606180989
2707953,7.31,41.641370967741935,29.0,29.991752015857003,0.0,2.014374962016924
2751529,7.31,42.14450940860215,28.0,31.73698992761024,0.0,2.1282526007341893
2795097,7.31,42.31647849462366,29.0,31.686428864075857,0.0,2.044462362700891
2838666,7.25,43.07286290322581,29.0,32.2222288134606,0.0,2.0031048385290204
2882235,7.25,40.36151209677419,28.0,31.083737296639004,0.0,2.0080039993333774
2925801,7.37,42.44959005376344,29.0,31.29135713608417,0.0,2.0273924729376227
2969371,7.44,40.62411962365592,28.0,29.540007456931736,0.0,1.9933400526343363
3012939,7.69,42.79260080645161,30.0,31.40927929176788,0.0,2.0263172041204185
3056511,8.13,42.66873655913979,29.0,31.70422716151733,0.0,1.971135752643008
3100142,8.63,42.40320564516129,29.0,31.835577864233056,0.0,1.9875402763325236
3143709,9.13,43.250665322580645,29.0,31.941012651572013,0.0,2.278044341786261
3187280,9.69,42.33877688172043,28.0,31.64142877890707,0.0,2.159072571792982
3230845,10.25,43.72602822580645,30.0,32.04930635107763,0.0,2.0467069307145325
3274413,10.81,43.03858870967742,29.0,31.979742036114548,0.0,2.101672926376965
3361587,11.88,44.00825268817204,30.0,32.362887764749665,0.0,2.0090389773655195
3405153,12.5,43.99043010752688,30.0,32.14976675659062,0.0,2.1025201449860536
3448741,13.06,43.1457123655914,29.0,32.10273899903008,0.0,2.185597950223653
3492315,13.56,43.84815860215054,31.0,31.88500626152402,0.0,2.1282324581870014
3535880,14.13,43.10961021505376,30.0,31.059859854849734,0.0,2.092412260404021
3579452,14.56,42.63690860215054,29.0,31.330474113635667,0.0,2.096491889235749
3623022,15.06,43.288272849462366,30.0,31.429888642951774,0.0,2.093232427114044
3666592,15.5,43.72635752688172,31.0,31.59936982853213,0.0,2.054159718563924
3710164,15.94,43.69404569892473,30.0,31.961838923034414,0.0,2.1280911505304085
3753739,16.44,43.79319220430108,30.0,31.926427194177244,0.0,2.1572914126181497
3797325,16.87,43.43921370967742,30.0,32.310057668352826,0.0,2.140188146028443
