 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
47531,34.06,36.35769489247312,28.0,27.940543475145205,0.0634072580645161,2.326122301666016
91171,34.13,36.55007392473118,28.0,28.12044119554616,0.0788306451612903,2.277513437969707
134968,34.06,37.24797043010753,29.0,28.126851956597864,0.0479838709677419,2.305060445887892
178611,34.06,37.75064516129032,29.0,27.96132601061579,0.0,2.224683948966282
222259,33.94,37.238931451612906,28.0,28.39582359281235,0.0,2.2543881868116977
265911,33.5,37.16149193548387,28.0,28.723445818870903,0.0,2.241431272356269
309554,32.63,36.75670698924731,28.0,28.58970652636377,0.0,2.248064197450572
353197,31.19,37.54176075268817,29.0,28.44044150551785,0.0,2.2470898629447764
396842,29.5,37.15115591397849,28.0,28.87811848369776,0.0685483870967741,2.2305106305642264
440484,27.62,37.51663978494624,28.0,28.565378087259663,0.0,2.1682660415944035
484148,25.75,36.9195497311828,28.0,28.83103655582434,0.0,2.261545603357325
527800,23.94,37.50771505376344,29.0,28.87477541958913,0.0,2.329247198917505
571447,22.19,37.66770833333333,29.0,29.06702243556724,0.0,2.210839799714924
615095,20.62,37.85996639784946,29.0,28.7695505195275,0.0,2.2328897197291595
658743,19.19,37.72175403225806,28.0,28.797509690882805,0.0,2.147123493322927
702404,17.87,36.91134408602151,28.0,27.626024095646084,0.0,2.227930027857267
746058,16.69,36.53665322580645,28.0,28.33745504017503,0.0,2.2457457884853014
789753,15.56,37.72282930107527,29.0,28.67364588032579,0.0,2.2720157127991683
833393,14.56,37.307184139784944,28.0,28.864837028254733,0.0,2.289025179888932
877039,13.69,36.63703629032258,28.0,28.76178973937685,0.0,2.174798245461903
920683,12.81,36.65126344086021,28.0,28.762512864024583,0.0,2.3434607103693343
964327,12.0,36.98993951612904,28.0,29.035286506186605,0.0,2.1617472243901035
1007973,11.19,37.331149193548384,28.0,29.067659950476894,0.0,2.2592672703762715
1051665,10.56,37.28983198924731,28.0,29.219303511323236,0.0,2.156229810482064
1095317,10.0,37.17407258064516,28.0,29.313660754009963,0.0,2.1538165539368714
1138970,9.63,37.13909946236559,28.0,29.18975886004048,0.0257056451612903,2.3485076128743207
1182637,9.38,37.03850806451613,28.0,29.25084818051444,0.0685483870967741,2.1396436805826538
1226282,9.06,37.28775537634409,28.0,28.915761376508318,0.0,2.1482653180642264
1269932,8.88,36.53211021505376,28.0,28.8400733208004,0.0,2.2886146548733963
1313584,8.63,36.53431451612903,28.0,29.015923371023757,0.1045362903225806,2.3821969193963906
1357238,8.44,37.12274865591398,28.0,28.967577003347916,0.0,2.101323499781405
1400910,8.25,36.826485215053765,28.0,28.747837579005264,0.0,2.1585679088171323
1444569,8.25,36.57152553763441,28.0,28.963281903361622,0.0,2.0755576384824117
1488222,8.13,36.893508064516126,28.0,29.113457901339256,0.0,2.2023851962203
1531874,7.94,36.45621639784946,28.0,29.10377644612964,0.0,2.258715758279497
1575527,7.87,36.25510752688172,28.0,28.78727528851637,0.0,2.26653879923799
1619178,7.81,36.43702956989247,28.0,28.806597629414632,0.0,2.075362469469014
1662834,7.81,36.98431451612903,28.0,28.786643943971544,0.0,2.153010186148689
1706536,7.69,36.49731182795699,28.0,29.19404662538458,0.0,2.13192097189704
1750182,7.69,36.47440188172043,28.0,28.77313007114761,0.0274193548387096,2.333608854663473
1793834,7.69,36.02272177419355,28.0,28.717075370948947,0.0,2.0912828964602124
1837487,7.62,36.1459744623656,27.0,28.7982183645528,0.0,2.276061110930454
1881152,7.62,36.49934139784946,28.0,29.01699005637619,0.0,2.145342299281348
1924804,7.62,36.872956989247314,28.0,29.09937764675145,0.0,2.252976174584852
1968502,7.62,36.17390456989247,28.0,29.025562620324468,0.0,2.19722380111682
2012159,7.5,36.78128360215054,28.0,28.85957390328636,0.0,2.2696836031893137
2055819,7.5,36.068145161290325,28.0,29.126928498622625,0.0,2.245779003352989
2099495,7.62,36.24496639784946,28.0,28.989158120009897,0.0,2.304999433460516
2143146,7.75,36.30028225806451,28.0,29.211720976235696,0.0,2.113614962531796
2186804,8.0,36.48639784946237,28.0,28.987499213978868,0.0,2.2330839941304634
2230460,8.44,36.13862231182796,28.0,28.541234040859088,0.0,2.2255503119941613
2274117,8.94,36.18790322580645,28.0,28.34978691602784,0.0,2.0462023596929555
2317780,9.5,36.760060483870966,28.0,28.97336100825414,0.0,2.2339241846962072
2361447,10.06,35.65315188172043,27.0,28.450189425943957,0.0257056451612903,2.422163815903572
2405109,10.63,36.49065860215054,28.0,28.346325573008123,0.0,2.2568947954604583
2448768,11.25,35.86194892473118,27.0,28.73082532091703,0.0,2.230953849433461
2492427,11.81,36.822318548387095,28.0,28.904958889224773,0.0771169354838709,2.308783260302853
2536087,12.44,37.15516129032258,28.0,28.71363567886722,0.0,2.2685614782055725
2579765,13.0,37.05139112903226,28.0,28.86870934269745,0.0,2.2319889582610704
2623481,13.5,37.52091397849463,28.0,29.04247294306245,0.0,2.1489243489131686
2667137,14.13,37.41372983870968,28.0,28.825668369035892,0.0,2.228931044006172
2710796,14.63,37.42858870967742,29.0,28.64154616211643,0.0,2.348741864621271
2754453,15.13,37.52407258064516,29.0,28.873164626771075,0.0805443548387096,2.4520425032879523
2798125,15.63,36.659327956989245,28.0,28.811502315523057,0.0,2.2125063626846315
2841784,16.12,36.69860887096774,28.0,28.67848966682409,0.0,2.25392445640392
2885488,16.62,37.15677419354839,29.0,28.57500891019684,0.0,2.14304411415879
2929152,17.06,37.33620295698925,29.0,28.63912488698183,0.0,2.1756916872163687
2972817,17.56,36.784899193548384,28.0,28.522807826728474,0.0856854838709677,2.332204149142965
3016485,18.0,37.0665120967742,28.0,28.68539687980167,0.0,2.1807922707827494
3060146,18.44,36.84962365591398,28.0,28.90855218863981,0.0,2.4912698935118938
3103802,18.87,37.01524865591398,28.0,29.007728438213835,0.0,2.3901142039090497
3147467,19.25,37.75745295698925,29.0,28.49410442165435,0.0,2.2479432143528157
3191131,19.69,36.54549731182796,28.0,28.373052012997316,0.0,2.261901599850777
3234794,20.12,37.31420698924731,29.0,28.440406659489867,0.0,2.221700132195558
3278474,20.5,36.84561155913978,28.0,28.35310121219748,0.0,2.176055079299269
3322138,20.88,36.79154569892473,28.0,28.554532360200536,0.0,2.170349096535727
3365803,21.25,36.41438172043011,28.0,28.333348500523883,0.0,2.1854569587163253
3409465,21.62,36.51872983870968,28.0,28.448281195119375,0.0,2.178736089251648
3453131,22.0,37.73475806451613,29.0,28.506350621360127,0.0,2.2723991382222657
3496817,22.31,36.97784946236559,28.0,28.426134588319467,0.0,2.1834810308633945
3540503,22.69,35.734388440860215,28.0,28.07606306865575,0.0771169354838709,2.4534675078043704
3584209,23.06,36.37678091397849,28.0,28.287744408550967,0.0,2.152271401318072
3627870,23.38,36.86766129032258,29.0,28.07446439350268,0.0,2.156478332032605
3671532,23.69,36.417016129032255,28.0,28.107156623573744,0.0,2.2269084285394265
3715194,24.0,36.37174731182796,28.0,28.02331311836088,0.0,2.245329143858755
3758855,24.31,36.71823924731183,28.0,28.267251714314128,0.0,2.209401713664513
3802634,24.63,36.41540994623656,28.0,28.162624805238835,0.0,2.2304973111053306
3846306,24.87,36.85769489247312,28.0,28.216541668296937,0.0,2.487782192847439
3889973,25.19,36.43758064516129,28.0,28.28598553135555,0.0359879032258064,2.3278762024511503
3933642,25.44,36.45725806451613,28.0,28.370166937324885,0.0,2.265026684985258
3977324,25.75,37.66317876344086,29.0,27.921077791818018,0.0,2.391007912583825
4020988,26.0,35.93842069892473,28.0,28.38261725109115,0.0,2.2225804932289868
4064682,26.31,37.64450268817204,30.0,28.148611821326725,0.0873991935483871,2.4130844096409265
4108361,26.56,37.37506048387097,29.0,28.194896449822867,0.0445564516129032,2.449247239565268
4152042,26.81,36.43969758064516,28.0,28.047545187370226,0.0,2.1179633985413777
4195740,27.06,35.78304435483871,28.0,27.855683796384564,0.0,2.2822109596756133
4239423,27.37,35.81371639784946,28.0,28.350505794357776,0.0,2.13944197662844
4283101,27.56,36.61060483870968,28.0,27.995079452627053,0.0,2.2830644855980458
4326782,27.81,35.9842876344086,28.0,27.62076139629056,0.0,2.143010555953001
