x;T
0;122,68
0;120,42
0;121,02
0;120,83
0,077;120,7
0,077;119,75
0,092;120,13
0,092;120,62
0,092;120,62
0,11;119,8
0,11;119,45
0,237;106,9
0,237;106,65
0,239;107,12
0,239;106,72
0,283;106
0,283;106,2
0,292;106
0,292;106,3
0,295;105,9
0,399;93,77
0,399;97,72
0,399;94,85
0,399;96,67
0,498;85,32
0,506;81,28
0,506;81,9
0,581;72,37
0,581;72,23
0,594;68,85
0,594;72,75
0,748;84,48
0,748;84,72
0,752;85,98
0,752;85,8
0,8;89,23
0,8;89,63
0,772;89,73
0,772;91,13
0,896;96,57
0,896;96,55
0,907;97,82
0,907;97,97
1,000;101,87
1,000;101,6
